E;E;E;E;E;E;E;h;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
E;E;E;E;E;h;h;h;h;h;h;E;E;0;E;h;h;h;E;E;E;h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
E;E;E;E;h;h;h;h;0;0;0;0;0;0;0;0;h;h;h;E;E;E;h;h;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
E;E;E;X;h;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;h;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;E;E;E;h;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;E;E
E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;X;E;E;E;E;E;E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;E;E
E;E;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;h;X;h;h;E;E;X;E;E;E;E;X;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;h;h;E;E
E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;h;h;h;h;h;h;X;X;X;0;0;0;0;X;X;X;h;h;0;0;0;0;0;0;0;0;0;0;0;h;h;h;E;E;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;h;E;E;E
E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;h;h;h;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E;E;X;h;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;E;E;E
E;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;X;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;X;E;E;E;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;E;E;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;h;E;E;E;E
E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;E;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;X;X;X;E;E;E;E;E;E;E;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E
E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;h;h;h;E;E;E;E;E;E;X;E;E;E;0;0;0;0;h;h;h;X;X;0;X;X;h;h;E;E;E;E;E;E;E;E;E;E;E;h;h;h;E;X;X;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E
E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;E;E;E;E;E;E;E;E;X;X;h;h;h;h;h;E;E;X;0;X;h;h;h;h;h;E;E;E;E;E;E;X;X;h;h;h;h;h;E;X;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E
E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;E;E;E;E;E;E;E;E;E;h;h;h;h;h;E;E;E;X;0;X;E;E;h;h;h;h;X;X;X;X;X;X;0;0;0;h;h;h;h;X;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;h
E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;X;X;X;E;E;E;E;h;h;h;E;E;E;E;E;X;X;0;X;X;X;X;0;h;h;h;0;0;0;0;0;0;0;0;0;0;h;h;X;X;0;0;0;0;0;0;0;0;0;X;E;E;E;E;h
E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;h;h;h;h;h;E;E;E;X;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;X;0;0;0;0;0;0;0;0;0;X;E;E;E;E;h
E;E;X;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;X;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;h;E;E;E;E;E
E;E;h;h;h;h;h;h;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E
E;E;E;h;h;h;h;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;h;h;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;X;0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;h;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;X;X;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;X;X;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
E;E;E;E;E;E;E;E;E;h;h;h;E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;E;E;E;E;E
E;E;E;E;E;E;E;h;h;h;h;h;h;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;E
E;E;E;E;E;E;E;h;h;h;0;h;h;h;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;X;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;E
E;E;E;E;E;E;X;h;X;0;0;0;0;X;X;h;h;E;X;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;E
E;E;E;E;E;E;X;0;0;0;0;0;0;0;0;h;h;h;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;X;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;E;E;E;X;X;X;X;X;X;X;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;E;E;E;E;E;E
E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;h;h;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;E;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;X;X;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h;h;X;X;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;X;E;E;E;E;E;E;E;E
E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;X;E;E;X;X;X;h;h;0;0;0;0;0;0;X;X;X;h;h;h;E;E;E;E;E;E;h;h;X;X;X;0;0;0;X;X;X;X;h;h;h;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;E;E;E;E;E;E;X;X;h;h;0;0;0;0;0;0;0;h;h;h;h;h;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E
E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E;h;h;h;X;X;X;X;X;X;E;E;h;h;E;E;E;E;E;E;E;E;E;E;E;X;E;E;E;X;E;E;E;h;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;X;X;h;h;E;E;E;E;E;E;E;E;h;h;h;0;0;0;0;0;h;h;h;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E
E;E;E;E;E;h;0;0;0;0;0;0;0;0;0;0;0;h;E;E;E;E;E;E;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;0;0;0;0;h;h;E;E;E;E;E;E;E;E;h;h;0;0;0;0;0;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E
