0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;X;h;h;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;h;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;X
E;E;h;h;h;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;0;0;0;0;0;E;X;X;0;X;X;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;X;X;X;X;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;E;E;E;E;E
X;X;X;X;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;0;X;X;X;X;X;X;0;0;X;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;X;0;X;X;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;E;E;E;E;E;E;E;E
X;0;0;X;X;E;E;X;X;0;0;0;0;0;0;0;0;X;X;X;X;X;X;X;E;E;X;X;X;h;h;h;E;X;0;0;X;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;X;0;0;0;0;0;X;X;X;X;0;0;X;E;0;0;0;0;0;0;X;X;X;h;h;0;0;0;0;X;X;E;E;E;E;E;E;E;E;E;E;E;E
0;0;0;0;X;E;E;E;X;X;0;0;E;E;E;E;E;X;E;E;E;E;E;E;E;E;E;E;h;h;h;h;E;X;X;0;X;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;E;E;E;E;X;X;X;X;X;h;h;E;X;0;0;0;X;X;X;0;0;X;X;X;X;X;E;h;h;h;h;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;h
0;X;X;0;X;E;E;E;X;X;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;E;E;E;E;X;X;X;E;E;X;X;0;0;0;0;0;0;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h;h;E;X;0;X;X;X;E;X;X;X;X;E;E;E;E;E;E;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h
X;X;X;X;X;E;E;E;h;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;X;X;X;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h;E;E;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h
