y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;0;0;0;0;0;0;0;0;0;0;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y
y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y
y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y
y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;y;y;y;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;0;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
y;y;0;0;0;0;0;0;0;0;0;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;y;y;y;0;0;y;y;y;y;y;y;y
y;y;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y
y;y;y;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;0;y;y;y;0;0;y;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y
y;y;y;y;y;0;y;y;0;0;0;y;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;y;y;y;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;0;0;0;0;0;0;0;0;0;y;y;y;0;0;0;y;y;y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y;y
