H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;J;J;J;J;J;J;J;J;0;0;0;0;J;J;J;J;J;0;0;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;J;J;0;0;0;0;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;0;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J
H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J
H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;0;0;0;0;0;0;0;J;J;J;J;J;J;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;0;0;0;0;0;0;0;0;0;0;0;J;J;J;H;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J
H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;J;J;J;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;J;J;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0;0;0;0;0;0;0;0;J;J;J;J;H;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J
H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;J;J;0;0;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;H;H;H;H;0;J;J;0;0;0;0;J;J;J;J;H;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;J;J;J;J
H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;H;H;H;H;J;J;J;J;H;H;0;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;J;J;J;J
H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;H;H;H;H;H;H;J;J;H;H;H;H;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;J;J;J;J;J
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;H;H;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;J;J;J;J;J;J;J
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;H;H;H;H;H;J;H;H;H;H;H;H;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;J;J;H;H;J;J;J;J;J;J;J
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;J;J;J;0;0;0;0;0;0;0;0;0;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;0;0;J;J;H;J;H;H;H;H;H;H;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;J;J;J;J;J;H;H;H;J;J;J;J;J
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;J
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;J;J;J;J;J;J;J;J;J;J;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;H;H;H;H;H;H;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;J;J;J;J;J;J;J;J;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;J;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;J;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;J;J;J;J;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;0;0;0;0;0;0;0;0;0;0;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;J;J;J;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;J;J;J;J;0;0;0;0;0;0;0;J;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J;J;J;J;J;J;J;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;J;0;0;H;H;H;J;J;J;J;J;J;J;J;0;0;J;J;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;J;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;J;J;J;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;J;J;J;H;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;J;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;J;J;J;J;J;J;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;H;H;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;H;H;H;H;H;H;H;H;J;J;J;H;J;J;J;J;J;J;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;J;J;J;J;J;J;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;J;J;J;H;H;H;H;H;H;H;J;J;J;J;J;J;J;J;H;H;H;H;H;H;H;H;H;H;H;H;H;H;J;J;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;J;J;J;J;J;J;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;H;H;J;J;J;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;J;J;J;J;J;J;J;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;H;J;J;J;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;H;H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
