size,level,count
"(79, 23)",6H-Reflection,1
"(79, 23)",9X-Core,1
"(79, 33)",6H-Reflection,1
"(80, 23)",2-OldSite,1
"(80, 23)",3-CelestialResort,8
"(80, 23)",6-Reflection,2
"(80, 32)",LostLevels,1
"(80, 46)",3-CelestialResort,1
"(80, 46)",5-MirrorTemple,1
"(80, 69)",5-MirrorTemple,2
"(80, 151)",6-Reflection,1
"(80, 407)",7-Summit,1
"(81, 23)",5-MirrorTemple,1
"(81, 23)",5H-MirrorTemple,1
"(81, 23)",6H-Reflection,1
"(81, 23)",9H-Core,1
"(81, 27)",7-Summit,1
"(81, 46)",5-MirrorTemple,1
"(82, 23)",2H-OldSite,1
"(82, 23)",3H-CelestialResort,1
"(82, 23)",4H-GoldenRidge,1
"(82, 23)",5-MirrorTemple,1
"(82, 23)",5H-MirrorTemple,2
"(82, 36)",7-Summit,1
"(82, 46)",5-MirrorTemple,1
"(83, 23)",3H-CelestialResort,1
"(83, 23)",5-MirrorTemple,1
"(83, 23)",6-Reflection,1
"(83, 23)",7-Summit,2
"(83, 23)",9-Core,1
"(84, 23)",7-Summit,1
"(84, 23)",7H-Summit,1
"(84, 23)",9H-Core,1
"(85, 23)",2-OldSite,1
"(85, 23)",9H-Core,1
"(85, 45)",2-OldSite,1
"(86, 23)",1X-ForsakenCity,1
"(86, 23)",5-MirrorTemple,1
"(86, 23)",7-Summit,1
"(86, 23)",7H-Summit,2
"(86, 23)",9H-Core,1
"(86, 27)",4-GoldenRidge,1
"(87, 23)",4X-GoldenRidge,1
"(87, 23)",5H-MirrorTemple,1
"(87, 79)",5-MirrorTemple,1
"(88, 23)",6-Reflection,1
"(88, 23)",7H-Summit,1
"(88, 23)",LostLevels,1
"(88, 35)",LostLevels,1
"(89, 32)",5-MirrorTemple,1
"(90, 23)",4H-GoldenRidge,1
"(90, 23)",5H-MirrorTemple,1
"(90, 24)",6H-Reflection,1
"(90, 39)",7-Summit,1
"(90, 45)",6-Reflection,1
"(91, 23)",6-Reflection,3
"(91, 23)",LostLevels,1
"(91, 24)",4H-GoldenRidge,1
"(92, 23)",1-ForsakenCity,1
"(92, 40)",2-OldSite,1
"(93, 23)",9H-Core,1
"(93, 23)",LostLevels,1
"(93, 26)",6H-Reflection,1
"(93, 40)",7-Summit,1
"(94, 23)",6-Reflection,1
"(94, 23)",9H-Core,1
"(94, 23)",LostLevels,2
"(94, 47)",9-Core,1
"(94, 61)",LostLevels,1
"(95, 23)",3H-CelestialResort,1
"(95, 31)",7X-Summit,1
"(95, 33)",6-Reflection,1
"(96, 23)",1H-ForsakenCity,1
"(96, 23)",3H-CelestialResort,1
"(96, 23)",7H-Summit,1
"(96, 27)",7-Summit,1
"(97, 23)",3H-CelestialResort,1
"(97, 23)",6-Reflection,2
"(98, 23)",7-Summit,1
"(98, 23)",7H-Summit,1
"(98, 26)",4-GoldenRidge,1
"(98, 27)",4-GoldenRidge,1
"(98, 30)",4-GoldenRidge,1
"(99, 23)",6H-Reflection,1
"(99, 23)",7-Summit,1
"(99, 23)",LostLevels,1
"(100, 23)",4-GoldenRidge,1
"(100, 23)",5H-MirrorTemple,1
"(100, 23)",LostLevels,2
"(100, 25)",7-Summit,1
"(101, 23)",3-CelestialResort,1
"(101, 23)",5H-MirrorTemple,1
"(101, 64)",LostLevels,1
"(101, 103)",7X-Summit,1
"(102, 23)",3-CelestialResort,1
"(102, 23)",4-GoldenRidge,1
"(103, 23)",9-Core,1
"(103, 25)",LostLevels,1
"(103, 38)",7-Summit,1
"(104, 23)",5H-MirrorTemple,1
"(104, 69)",7-Summit,1
"(105, 23)",9-Core,1
"(105, 23)",LostLevels,1
"(107, 23)",7-Summit,1
"(107, 25)",7-Summit,1
"(108, 23)",9-Core,1
"(109, 23)",6-Reflection,1
"(109, 23)",9H-Core,1
"(109, 23)",LostLevels,2
"(110, 23)",4-GoldenRidge,1
"(112, 23)",4H-GoldenRidge,1
"(112, 23)",9-Core,1
"(114, 23)",6H-Reflection,1
"(114, 23)",7H-Summit,1
"(114, 23)",9H-Core,1
"(114, 23)",LostLevels,1
"(114, 38)",7-Summit,1
"(115, 23)",9-Core,2
"(115, 30)",4-GoldenRidge,1
"(117, 23)",9-Core,1
"(118, 23)",1X-ForsakenCity,1
"(118, 23)",2H-OldSite,1
"(118, 23)",7H-Summit,1
"(119, 23)",LostLevels,1
"(119, 25)",7-Summit,1
"(120, 23)",3-CelestialResort,1
"(120, 23)",4H-GoldenRidge,1
"(120, 23)",7-Summit,1
"(120, 23)",9-Core,1
"(120, 23)",LostLevels,1
"(121, 23)",7H-Summit,1
"(121, 24)",4H-GoldenRidge,1
"(122, 23)",3-CelestialResort,1
"(122, 23)",LostLevels,1
"(122, 24)",LostLevels,1
"(123, 23)",5H-MirrorTemple,1
"(123, 23)",LostLevels,1
"(123, 26)",7-Summit,1
"(124, 23)",0-Intro,1
"(124, 27)",4H-GoldenRidge,1
"(125, 23)",LostLevels,1
"(126, 23)",8-Epilogue,1
"(126, 23)",9H-Core,1
"(126, 23)",LostLevels,1
"(127, 23)",7H-Summit,1
"(128, 27)",7-Summit,1
"(129, 28)",5H-MirrorTemple,1
"(130, 23)",9H-Core,1
"(130, 27)",7-Summit,1
"(131, 23)",3H-CelestialResort,1
"(132, 23)",6H-Reflection,1
"(132, 23)",7-Summit,1
"(133, 23)",LostLevels,1
"(133, 107)",7H-Summit,1
"(135, 79)",LostLevels,1
"(136, 23)",5-MirrorTemple,1
"(136, 23)",LostLevels,1
"(138, 23)",6H-Reflection,1
"(138, 23)",7-Summit,1
"(138, 77)",LostLevels,1
"(139, 42)",6-Reflection,1
"(140, 23)",7-Summit,1
"(140, 23)",9X-Core,1
"(140, 23)",LostLevels,1
"(142, 23)",5H-MirrorTemple,1
"(143, 23)",1X-ForsakenCity,1
"(143, 23)",4H-GoldenRidge,1
"(143, 23)",6H-Reflection,1
"(144, 23)",LostLevels,1
"(145, 23)",7-Summit,1
"(145, 47)",6-Reflection,1
"(145, 77)",LostLevels,1
"(147, 23)",6H-Reflection,1
"(148, 51)",7-Summit,1
"(150, 23)",5-MirrorTemple,1
"(151, 44)",6-Reflection,1
"(151, 46)",5-MirrorTemple,1
"(152, 23)",7-Summit,1
"(156, 23)",LostLevels,1
"(157, 23)",LostLevels,2
"(160, 23)",6H-Reflection,1
"(161, 23)",LostLevels,1
"(162, 23)",6-Reflection,1
"(165, 23)",9-Core,1
"(170, 23)",LostLevels,1
"(170, 116)",4-GoldenRidge,1
"(173, 23)",LostLevels,1
"(176, 23)",4-GoldenRidge,1
"(177, 24)",LostLevels,1
"(177, 25)",7-Summit,1
"(178, 23)",LostLevels,1
"(181, 23)",9H-Core,1
"(181, 23)",LostLevels,1
"(182, 23)",LostLevels,1
"(185, 23)",9-Core,1
"(187, 23)",LostLevels,1
"(191, 23)",7H-Summit,1
"(191, 23)",LostLevels,2
"(192, 23)",LostLevels,1
"(194, 23)",LostLevels,1
"(197, 23)",3X-CelestialResort,1
"(199, 23)",LostLevels,1
"(201, 23)",LostLevels,1
"(202, 23)",LostLevels,1
"(203, 23)",5X-MirrorTemple,1
"(204, 23)",7H-Summit,1
"(209, 23)",3H-CelestialResort,1
"(215, 23)",6-Reflection,1
"(218, 23)",LostLevels,2
"(219, 23)",LostLevels,1
"(223, 81)",6X-Reflection,1
"(224, 151)",7H-Summit,1
"(228, 23)",LostLevels,1
"(234, 23)",4H-GoldenRidge,1
"(238, 23)",6H-Reflection,1
"(239, 23)",LostLevels,1
"(244, 23)",9-Core,1
"(245, 23)",5-MirrorTemple,1
"(249, 23)",2X-OldSite,1
"(254, 23)",3-CelestialResort,1
"(257, 40)",9H-Core,1
"(262, 407)",7-Summit,1
"(287, 40)",9-Core,1
"(287, 164)",LostLevels,1
"(293, 337)",7H-Summit,1
"(305, 23)",6-Reflection,1
"(320, 407)",7-Summit,1
"(321, 23)",4X-GoldenRidge,1
"(322, 23)",LostLevels,1
"(334, 23)",LostLevels,1
"(362, 158)",LostLevels,1
"(451, 25)",7X-Summit,1
"(659, 23)",9X-Core,1
"(768, 340)",LostLevels,1
