;level;room;width;height;size;unique_comb_width;unique_comb_height;unique_comb_coords;filepath
95;2-OldSite;lvl_11;54;23;(54, 23);4;136;10;../levels/2-OldSite/lvl_11_fg.csv
96;2-OldSite;lvl_9b;69;41;(69, 41);2;3;1;../levels/2-OldSite/lvl_9b_fg.csv
97;2-OldSite;lvl_d6;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_d6_fg.csv
98;2-OldSite;lvl_s2;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_s2_fg.csv
99;2-OldSite;lvl_start;40;31;(40, 31);84;2;3;../levels/2-OldSite/lvl_start_fg.csv
100;2-OldSite;lvl_d1;40;46;(40, 46);84;5;7;../levels/2-OldSite/lvl_d1_fg.csv
101;2-OldSite;lvl_end_6;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_end_6_fg.csv
102;2-OldSite;lvl_end_3b;74;23;(74, 23);3;136;7;../levels/2-OldSite/lvl_end_3b_fg.csv
103;2-OldSite;lvl_7;42;23;(42, 23);4;136;6;../levels/2-OldSite/lvl_7_fg.csv
104;2-OldSite;lvl_end_5;58;24;(58, 24);4;18;3;../levels/2-OldSite/lvl_end_5_fg.csv
105;2-OldSite;lvl_0;45;42;(45, 42);4;4;1;../levels/2-OldSite/lvl_0_fg.csv
106;2-OldSite;lvl_12d;47;23;(47, 23);4;136;10;../levels/2-OldSite/lvl_12d_fg.csv
107;2-OldSite;lvl_6;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_6_fg.csv
108;2-OldSite;lvl_end_1;45;43;(45, 43);4;4;1;../levels/2-OldSite/lvl_end_1_fg.csv
109;2-OldSite;lvl_end_3;48;43;(48, 43);5;4;1;../levels/2-OldSite/lvl_end_3_fg.csv
110;2-OldSite;lvl_s0;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_s0_fg.csv
111;2-OldSite;lvl_d0;40;84;(40, 84);84;1;2;../levels/2-OldSite/lvl_d0_fg.csv
112;2-OldSite;lvl_10;40;120;(40, 120);84;1;1;../levels/2-OldSite/lvl_10_fg.csv
113;2-OldSite;lvl_1;40;37;(40, 37);84;3;2;../levels/2-OldSite/lvl_1_fg.csv
114;2-OldSite;lvl_d4;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_d4_fg.csv
115;2-OldSite;lvl_end_3cb;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_end_3cb_fg.csv
116;2-OldSite;lvl_d3;40;57;(40, 57);84;1;2;../levels/2-OldSite/lvl_d3_fg.csv
117;2-OldSite;lvl_d2;80;23;(80, 23);6;136;11;../levels/2-OldSite/lvl_d2_fg.csv
118;2-OldSite;lvl_8;49;40;(49, 40);3;7;1;../levels/2-OldSite/lvl_8_fg.csv
119;2-OldSite;lvl_9;92;40;(92, 40);2;7;1;../levels/2-OldSite/lvl_9_fg.csv
120;2H-OldSite;lvl_03;40;23;(40, 23);84;136;169;../levels/2H-OldSite/lvl_03_fg.csv
121;2H-OldSite;lvl_01;42;23;(42, 23);4;136;6;../levels/2H-OldSite/lvl_01_fg.csv
122;2H-OldSite;lvl_01b;60;23;(60, 23);2;136;5;../levels/2H-OldSite/lvl_01b_fg.csv
123;2H-OldSite;lvl_07;40;40;(40, 40);84;7;5;../levels/2H-OldSite/lvl_07_fg.csv
124;2H-OldSite;lvl_end;40;58;(40, 58);84;1;2;../levels/2H-OldSite/lvl_end_fg.csv
125;2H-OldSite;lvl_06;42;25;(42, 25);4;14;1;../levels/2H-OldSite/lvl_06_fg.csv
126;2H-OldSite;lvl_08;40;25;(40, 25);84;14;8;../levels/2H-OldSite/lvl_08_fg.csv
127;2H-OldSite;lvl_11;40;68;(40, 68);84;1;1;../levels/2H-OldSite/lvl_11_fg.csv
128;2H-OldSite;lvl_02b;82;23;(82, 23);3;136;6;../levels/2H-OldSite/lvl_02b_fg.csv
129;2H-OldSite;lvl_09;77;34;(77, 34);4;3;1;../levels/2H-OldSite/lvl_09_fg.csv
130;2H-OldSite;lvl_start;40;23;(40, 23);84;136;169;../levels/2H-OldSite/lvl_start_fg.csv
131;2H-OldSite;lvl_08b;48;23;(48, 23);5;136;7;../levels/2H-OldSite/lvl_08b_fg.csv
132;2H-OldSite;lvl_02;118;23;(118, 23);1;136;3;../levels/2H-OldSite/lvl_02_fg.csv
133;2H-OldSite;lvl_05;40;25;(40, 25);84;14;8;../levels/2H-OldSite/lvl_05_fg.csv
134;2H-OldSite;lvl_10;40;37;(40, 37);84;3;2;../levels/2H-OldSite/lvl_10_fg.csv
135;2H-OldSite;lvl_04;73;24;(73, 24);3;18;1;../levels/2H-OldSite/lvl_04_fg.csv
136;2H-OldSite;lvl_00;47;23;(47, 23);4;136;10;../levels/2H-OldSite/lvl_00_fg.csv
137;5-MirrorTemple;lvl_d-10;42;23;(42, 23);4;136;6;../levels/5-MirrorTemple/lvl_d-10_fg.csv
138;5-MirrorTemple;lvl_b-18;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-18_fg.csv
139;5-MirrorTemple;lvl_d-00;40;65;(40, 65);84;1;3;../levels/5-MirrorTemple/lvl_d-00_fg.csv
140;5-MirrorTemple;lvl_d-03;42;23;(42, 23);4;136;6;../levels/5-MirrorTemple/lvl_d-03_fg.csv
141;5-MirrorTemple;lvl_d-13;47;23;(47, 23);4;136;10;../levels/5-MirrorTemple/lvl_d-13_fg.csv
142;5-MirrorTemple;lvl_b-01b;46;23;(46, 23);6;136;6;../levels/5-MirrorTemple/lvl_b-01b_fg.csv
143;5-MirrorTemple;lvl_a-09;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-09_fg.csv
144;5-MirrorTemple;lvl_b-01c;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-01c_fg.csv
145;5-MirrorTemple;lvl_b-03;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-03_fg.csv
146;5-MirrorTemple;lvl_c-11;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_c-11_fg.csv
147;5-MirrorTemple;lvl_e-00;71;23;(71, 23);2;136;4;../levels/5-MirrorTemple/lvl_e-00_fg.csv
148;5-MirrorTemple;lvl_b-15;80;46;(80, 46);6;5;2;../levels/5-MirrorTemple/lvl_b-15_fg.csv
149;5-MirrorTemple;lvl_a-02;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-02_fg.csv
150;5-MirrorTemple;lvl_b-10;47;23;(47, 23);4;136;10;../levels/5-MirrorTemple/lvl_b-10_fg.csv
151;5-MirrorTemple;lvl_e-06;83;23;(83, 23);1;136;6;../levels/5-MirrorTemple/lvl_e-06_fg.csv
152;5-MirrorTemple;lvl_e-09;55;23;(55, 23);4;136;4;../levels/5-MirrorTemple/lvl_e-09_fg.csv
153;5-MirrorTemple;lvl_a-03;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-03_fg.csv
154;5-MirrorTemple;lvl_d-05;44;42;(44, 42);3;4;2;../levels/5-MirrorTemple/lvl_d-05_fg.csv
155;5-MirrorTemple;lvl_c-13;82;23;(82, 23);3;136;6;../levels/5-MirrorTemple/lvl_c-13_fg.csv
156;5-MirrorTemple;lvl_b-08;40;35;(40, 35);84;6;4;../levels/5-MirrorTemple/lvl_b-08_fg.csv
157;5-MirrorTemple;lvl_a-11;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-11_fg.csv
158;5-MirrorTemple;lvl_c-09;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_c-09_fg.csv
159;5-MirrorTemple;lvl_b-12;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-12_fg.csv
160;5-MirrorTemple;lvl_b-00;71;23;(71, 23);2;136;4;../levels/5-MirrorTemple/lvl_b-00_fg.csv
161;5-MirrorTemple;lvl_c-01c;51;23;(51, 23);5;136;3;../levels/5-MirrorTemple/lvl_c-01c_fg.csv
162;5-MirrorTemple;lvl_a-08;40;43;(40, 43);84;4;6;../levels/5-MirrorTemple/lvl_a-08_fg.csv
163;5-MirrorTemple;lvl_a-12;50;34;(50, 34);5;3;1;../levels/5-MirrorTemple/lvl_a-12_fg.csv
164;5-MirrorTemple;lvl_b-02;40;85;(40, 85);84;1;2;../levels/5-MirrorTemple/lvl_b-02_fg.csv
165;5-MirrorTemple;lvl_a-01;62;78;(62, 78);3;1;1;../levels/5-MirrorTemple/lvl_a-01_fg.csv
166;5-MirrorTemple;lvl_d-15;80;69;(80, 69);6;3;2;../levels/5-MirrorTemple/lvl_d-15_fg.csv
167;5-MirrorTemple;lvl_b-14;40;35;(40, 35);84;6;4;../levels/5-MirrorTemple/lvl_b-14_fg.csv
168;5-MirrorTemple;lvl_a-14;40;25;(40, 25);84;14;8;../levels/5-MirrorTemple/lvl_a-14_fg.csv
169;5-MirrorTemple;lvl_c-01b;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_c-01b_fg.csv
170;5-MirrorTemple;lvl_e-05;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_e-05_fg.csv
171;5-MirrorTemple;lvl_c-00;40;129;(40, 129);84;1;5;../levels/5-MirrorTemple/lvl_c-00_fg.csv
172;5-MirrorTemple;lvl_a-00;60;23;(60, 23);2;136;5;../levels/5-MirrorTemple/lvl_a-00_fg.csv
173;5-MirrorTemple;lvl_e-03;64;23;(64, 23);4;136;1;../levels/5-MirrorTemple/lvl_e-03_fg.csv
174;5-MirrorTemple;lvl_a-00x;87;79;(87, 79);2;3;1;../levels/5-MirrorTemple/lvl_a-00x_fg.csv
175;5-MirrorTemple;lvl_e-02;47;23;(47, 23);4;136;10;../levels/5-MirrorTemple/lvl_e-02_fg.csv
176;5-MirrorTemple;lvl_e-08;71;23;(71, 23);2;136;4;../levels/5-MirrorTemple/lvl_e-08_fg.csv
177;5-MirrorTemple;lvl_c-12;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_c-12_fg.csv
178;5-MirrorTemple;lvl_b-11;40;43;(40, 43);84;4;6;../levels/5-MirrorTemple/lvl_b-11_fg.csv
179;5-MirrorTemple;lvl_a-00c;64;37;(64, 37);4;3;1;../levels/5-MirrorTemple/lvl_a-00c_fg.csv
180;5-MirrorTemple;lvl_b-16;40;129;(40, 129);84;1;5;../levels/5-MirrorTemple/lvl_b-16_fg.csv
181;5-MirrorTemple;lvl_a-00b;57;28;(57, 28);2;8;1;../levels/5-MirrorTemple/lvl_a-00b_fg.csv
182;5-MirrorTemple;lvl_d-20;46;23;(46, 23);6;136;6;../levels/5-MirrorTemple/lvl_d-20_fg.csv
183;5-MirrorTemple;lvl_e-07;86;23;(86, 23);2;136;6;../levels/5-MirrorTemple/lvl_e-07_fg.csv
184;5-MirrorTemple;lvl_d-04;82;46;(82, 46);3;5;1;../levels/5-MirrorTemple/lvl_d-04_fg.csv
185;5-MirrorTemple;lvl_b-05;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-05_fg.csv
186;5-MirrorTemple;lvl_b-06;136;23;(136, 23);1;136;2;../levels/5-MirrorTemple/lvl_b-06_fg.csv
187;5-MirrorTemple;lvl_d-19;40;61;(40, 61);84;2;2;../levels/5-MirrorTemple/lvl_d-19_fg.csv
188;5-MirrorTemple;lvl_a-10;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-10_fg.csv
189;5-MirrorTemple;lvl_a-15;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-15_fg.csv
190;5-MirrorTemple;lvl_e-01;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_e-01_fg.csv
191;5-MirrorTemple;lvl_b-19;245;23;(245, 23);1;136;1;../levels/5-MirrorTemple/lvl_b-19_fg.csv
192;5-MirrorTemple;lvl_e-11;150;23;(150, 23);1;136;1;../levels/5-MirrorTemple/lvl_e-11_fg.csv
193;5-MirrorTemple;lvl_b-07;40;32;(40, 32);84;4;1;../levels/5-MirrorTemple/lvl_b-07_fg.csv
194;5-MirrorTemple;lvl_c-08b;47;23;(47, 23);4;136;10;../levels/5-MirrorTemple/lvl_c-08b_fg.csv
195;5-MirrorTemple;lvl_d-07;40;39;(40, 39);84;2;3;../levels/5-MirrorTemple/lvl_d-07_fg.csv
196;5-MirrorTemple;lvl_a-06;40;29;(40, 29);84;6;3;../levels/5-MirrorTemple/lvl_a-06_fg.csv
197;5-MirrorTemple;lvl_a-05;58;40;(58, 40);4;7;1;../levels/5-MirrorTemple/lvl_a-05_fg.csv
198;5-MirrorTemple;lvl_e-10;89;32;(89, 32);1;4;1;../levels/5-MirrorTemple/lvl_e-10_fg.csv
199;5-MirrorTemple;lvl_a-13;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-13_fg.csv
200;5-MirrorTemple;lvl_e-04;62;23;(62, 23);3;136;2;../levels/5-MirrorTemple/lvl_e-04_fg.csv
201;5-MirrorTemple;lvl_c-07;59;23;(59, 23);2;136;2;../levels/5-MirrorTemple/lvl_c-07_fg.csv
202;5-MirrorTemple;lvl_c-01;68;23;(68, 23);2;136;6;../levels/5-MirrorTemple/lvl_c-01_fg.csv
203;5-MirrorTemple;lvl_a-07;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-07_fg.csv
204;5-MirrorTemple;lvl_b-01;81;46;(81, 46);3;5;1;../levels/5-MirrorTemple/lvl_b-01_fg.csv
205;5-MirrorTemple;lvl_b-20;81;23;(81, 23);3;136;4;../levels/5-MirrorTemple/lvl_b-20_fg.csv
206;5-MirrorTemple;lvl_d-01;80;69;(80, 69);6;3;2;../levels/5-MirrorTemple/lvl_d-01_fg.csv
207;5-MirrorTemple;lvl_a-04;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_a-04_fg.csv
208;5-MirrorTemple;lvl_c-08;47;23;(47, 23);4;136;10;../levels/5-MirrorTemple/lvl_c-08_fg.csv
209;5-MirrorTemple;lvl_void;151;46;(151, 46);2;5;1;../levels/5-MirrorTemple/lvl_void_fg.csv
210;5-MirrorTemple;lvl_c-10;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_c-10_fg.csv
211;5-MirrorTemple;lvl_b-13;40;35;(40, 35);84;6;4;../levels/5-MirrorTemple/lvl_b-13_fg.csv
212;5-MirrorTemple;lvl_b-17;51;33;(51, 33);5;7;2;../levels/5-MirrorTemple/lvl_b-17_fg.csv
213;5-MirrorTemple;lvl_d-09;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_d-09_fg.csv
214;5-MirrorTemple;lvl_b-22;73;23;(73, 23);3;136;4;../levels/5-MirrorTemple/lvl_b-22_fg.csv
215;5-MirrorTemple;lvl_b-04;40;27;(40, 27);84;11;3;../levels/5-MirrorTemple/lvl_b-04_fg.csv
216;5-MirrorTemple;lvl_d-02;44;23;(44, 23);3;136;2;../levels/5-MirrorTemple/lvl_d-02_fg.csv
217;5-MirrorTemple;lvl_b-09;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-09_fg.csv
218;5-MirrorTemple;lvl_a-00d;52;28;(52, 28);4;8;1;../levels/5-MirrorTemple/lvl_a-00d_fg.csv
219;5-MirrorTemple;lvl_d-19b;40;50;(40, 50);84;1;2;../levels/5-MirrorTemple/lvl_d-19b_fg.csv
220;5-MirrorTemple;lvl_b-21;40;23;(40, 23);84;136;169;../levels/5-MirrorTemple/lvl_b-21_fg.csv
221;5-MirrorTemple;lvl_d-06;44;42;(44, 42);3;4;2;../levels/5-MirrorTemple/lvl_d-06_fg.csv
222;LostLevels;lvl_f-01;55;34;(55, 34);4;3;1;../levels/LostLevels/lvl_f-01_fg.csv
223;LostLevels;lvl_d-00;135;79;(135, 79);1;3;1;../levels/LostLevels/lvl_d-00_fg.csv
224;LostLevels;lvl_d-03;191;23;(191, 23);1;136;3;../levels/LostLevels/lvl_d-03_fg.csv
225;LostLevels;lvl_i-03;69;23;(69, 23);2;136;3;../levels/LostLevels/lvl_i-03_fg.csv
226;LostLevels;lvl_j-07;219;23;(219, 23);1;136;1;../levels/LostLevels/lvl_j-07_fg.csv
227;LostLevels;lvl_intro-00-past;145;77;(145, 77);3;2;1;../levels/LostLevels/lvl_intro-00-past_fg.csv
228;LostLevels;lvl_h-09;177;24;(177, 24);2;18;1;../levels/LostLevels/lvl_h-09_fg.csv
229;LostLevels;lvl_b-03;88;35;(88, 35);2;6;1;../levels/LostLevels/lvl_b-03_fg.csv
230;LostLevels;lvl_j-00;144;23;(144, 23);1;136;1;../levels/LostLevels/lvl_j-00_fg.csv
231;LostLevels;lvl_j-09;199;23;(199, 23);1;136;1;../levels/LostLevels/lvl_j-09_fg.csv
232;LostLevels;lvl_end-cinematic;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_end-cinematic_fg.csv
233;LostLevels;lvl_j-15;187;23;(187, 23);1;136;1;../levels/LostLevels/lvl_j-15_fg.csv
234;LostLevels;lvl_i-01;70;23;(70, 23);2;136;1;../levels/LostLevels/lvl_i-01_fg.csv
