g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;@;g;g;g;g;@;@;0;0;@;0;@;0;0;0;0;0;0;0;@;0;g;g;g;g;g;g;g;@;0;@;0;0;0;0;@;g;g;g;g;g;g;g;@;0;@;0;g;g;g;g;g;g;@;0;@;0;0;0;0;0;0;0;g;g;g;g;g;g;g;g;0;0;g;g;g;g;@;g;g;g;g;g;g;g;@;0;@;0;0;g;g;g;g;@;0;@;g;g;g;g;g;g;@;g;g;g;g;g;g;g;g;g;g;g
g;g;g;g;0;0;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;g;g;g;g
0;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;g;g;g;g
0;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;g;g;g
0;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;g;g;g
@;@;g;g;@;@;@;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;g;g;g
¥;@;@;g;@;@;@;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;g;g;g
¥;¥;0;g;0;0;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;g;g;g
¥;¥;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;@;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;g;g;g
Ó;Ó;Ó;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;@;@;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0
Ó;Ó;Ó;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0
Ó;Ó;Ó;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0
Ó;Ó;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;@;@;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;@;@;0;0;0;0;0;0;0;0;0
Ó;Ó;Ó;Ó;g;g;g;g;g;g;g;g;g;g;g;@;g;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;g;g;g;g;g;g;g
Ó;Ó;Ó;Ó;Ó;g;g;g;g;g;g;g;g;g;g;g;g;@;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;@;0;@;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;0;0;0;0;@;0;@;0;0;g;g;g;g;g;g;g
