0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;$;0;0;0;0;$;$;$;$;$;U;U;U;$;$;$;$;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$
0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;0;0;0;0;$;@;@;$;U;U;U;U;$;$;$;$;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$
0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;$;$;$;@;@;@;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;0;0;0;0;@;@;@;U;U;U;U;U;U;$;$;$;$;@;@;@;@;$;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;$;$;$;@;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;0;0;0;0;@;@;@;U;U;U;U;U;U;$;$;$;$;@;@;$;$;$;@;@;@;@;@;@;@;U;U;@;$;$;$;$;$;$
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;$;$;$;@;@;@;@;@;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;U;U;@;@;@;@;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;0;0;0;0;@;@;@;U;U;U;U;U;U;$;$;$;$;$;$;$;$;$;@;@;@;@;@;@;U;U;U;@;$;$;$;$;$;@
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;$;$;$;@;@;@;@;@;@;@;@;@;@;@;@;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;@;@;@;$;$;$;$;$;$;$;$;$;$;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;$;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;$;$;$;$;$;$;$;$;$;$;$;@;@;@;@;@;U;U;U;U;$;$;$;$;@;@
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;@;@;$;$;@;@;@;@;@;@;@;@;@;@;@;@;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;@;@;@;$;$;$;$;$;$;$;@;@;@;@;@;@;@;@;U;U;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;@;@;@;@;@;@;@;@;@;U;U;U;U;U;@;@;$;$;$;$;$;$;$;$;$;$;$;$;@;@;@;U;U;U;U;$;$;$;$;@;@
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;@;@;@;$;$;$;@;@;@;@;@;@;@;@;@;@;@;U;U;U;@;@;U;U;U;@;@;@;@;$;$;$;$;$;$;@;@;@;@;U;U;U;@;@;U;U;U;U;U;U;U;@;$;$;$;$;$;$;$;$;$;$;$;$;@;@;U;U;U;U;U;U;U;$;@;@;@
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;@;@;@;U;U;U;@;@;@;U;U;U;@;@;@;@;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;@;@;$;$;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;U;U;@;$;$;$;$;$;$;$;$;$;$;$;$;@;@;U;U;U;U;U;U;U;U;@;@;@
0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;@;@;U;U;U;U;@;@;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;@;@;@;@;U;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;U;U;@;@;@;@;$;$;$;$;$;$;$;$;$;$;$;@;U;U;U;U;U;U;U;U;@;@;@
0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;@;@;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;x;@;@;@;@;@;U;U;U;U;U;U;U;@;@;@;@;@;x;x;x;@;@;@;@;U;U;U;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;U;U;@;@;@;@;@;$;$;$;$;$;$;$;$;$;$;U;U;U;U;U;U;U;U;U;U;@;@
0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;@;@;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;U;U;x;x;@;@;@;@;x;x;x;U;U;U;U;@;@;@;@;@;x;x;x;x;@;@;@;@;@;@;U;U;U;@;@;@;@;@;x;x;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;U;U;@;@;@;@;@;@;$;$;$;$;$;$;$;$;$;U;U;U;U;U;U;U;U;U;U;@;@
0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;@;@;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;x;x;x;x;@;@;@;x;x;x;x;x;x;x;x;@;@;@;@;x;x;x;x;x;x;@;@;@;@;@;U;U;x;@;@;@;@;x;x;x;@;U;U;@;@;@;@;@;@;@;@;@;U;U;U;U;@;U;U;U;U;@;@;@;@;@;@;@;$;$;@;@;@;@;$;$;$;$;U;U;U;U;U;U;U;U;U;U;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;x;x;x;@;@;x;x;x;x;x;x;x;@;@;@;@;@;x;x;x;x;x;x;@;@;@;@;@;x;x;x;@;@;@;@;x;x;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;U;U;U;U;U;U;U;U;U;U;U;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;x;x;x;@;@;x;x;x;x;x;x;x;@;@;@;@;@;x;x;x;x;x;x;x;x;@;@;@;x;x;x;x;@;@;@;x;x;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;U;U;U;U;U;U;U;U;U;U;U;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;x;x;x;@;x;x;x;x;x;x;x;x;x;x;@;@;x;x;x;x;x;x;x;x;x;x;@;@;x;x;x;x;@;@;x;x;x;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;U;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;x;x;x;x;U;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;@;@;U;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;U;U;U;@;@;@;@;@;@;@;@;@;@;@;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;@;@;U;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;U;U;@;@;@;@;@;@;@;@;@;@;U;U;U;U;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;U;U;U;U;U;@;@;U
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;U;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;@;@;@;@;@;$;$;@;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;U;U;@;@;@;@;$;$;$;$;@;@;@;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;1;1;1;1;1;1;x;x;x;x;x;x;x;x;x;x;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;U;U;U;@;@;@;@;@;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;1;1;1;1;1;1;1;1;1;x;x;x;x;x;x;x;x;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;1;1;1;1;1;1;1;1;1;1;x;x;x;x;x;x;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x;x;x;x;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x;x;x;x;x;1;1;1;0;0;0;0;0;x;x;x;x;x;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;U;U;@;@;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x;x;x;x;x;1;1;1;1;0;0;1;1;x;x;x;x;x;1;1;1;1;1;1;x;x;x;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;@;@;@;@;@;@;@;@;@;@;U;U;U;U;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x;x;x;x;x;x;1;1;1;1;1;1;1;x;x;x;x;1;1;@;@;1;1;x;x;x;x;1;1;1;1;1;1;@;@;@;@;1;1;1;1;1;1;1;1;1;x;x;x;x;x;1;1;1;1;1;1;1;1;1;1;1;1;1;x;x;x;x;x;@;@;@;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;x;x;@;@;@;@;@;@;U;U;U;U;@;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x;x;x;x;x;x;1;1;1;@;@;1;1;1;x;x;x;x;@;@;@;x;x;x;x;x;x;x;1;1;1;1;1;@;@;@;@;x;1;1;1;1;1;x;x;x;x;x;x;x;x;x;1;1;1;1;1;1;1;1;1;1;x;x;x;x;x;x;x;@;@;@;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;@;@;@;U;U;U;U;U;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@;x;x;x;x;x;1;1;@;@;@;1;1;1;x;x;x;x;@;@;@;@;x;x;x;x;x;x;x;1;1;x;x;@;@;@;@;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;1;1;1;1;1;1;1;1;x;x;x;x;x;x;x;@;@;@;@;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;@;@;U;U;U;U;U;U;U;@;@;@;@;@;@;@;@;@;$;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@;x;x;x;x;x;x;@;@;@;@;@;@;x;x;x;x;x;@;@;@;@;x;x;x;x;x;x;x;x;x;x;@;@;@;@;@;@;@;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;@;@;@;@;x;x;x;x;x;x;x;x;x;x;x;x;x;x;@;@;@;@;U;U;U;U;U;U;U;U;@;@;@;@;@;@;@;$;$;$;$;$;$;$;$;$;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
