b;b;b;b;0;0;0;0;0;0;f;f;f;f;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;l;l;f
b;b;b;0;0;0;0;0;0;0;0;0;f;f;f;f;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;b;b;l;l;l;l;f
b;b;b;0;0;0;0;0;0;0;0;0;0;f;f;f;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;b;b;b;b;b;b;b
b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;f;f;f;0;0;0;0;0;0;0;b;b;b;b
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;0;0;0;0;0;0;0;0;0;0;f;0;0;0;0;0;0;0;0;0;0;0;0
l;l;l;l;l;l;l;l;l;l;0;0;0;0;0;0;f;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;l;l;l
l;l;l;l;l;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;l;l;l
l;l;l;l;l;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;0;0;b;b;b;b;b;b;b
b;b;b;b;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;b;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;l;l;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;l;l;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;b;b;b;b
b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;l;f;f;b
b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;l;f;f;f
b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;0;0;0;0;0;0;0;l;l;l;f;f;f
b;b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f;f;f;f;l;l;l;0;0;0;0
b;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;0;0;0;f;f;l;l;l;0;0;0;0
b;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;f;f;f;0;0;0;0;0
f;l;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;0;0;0;0;0;0;0
f;f;l;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l
b;b;l;l;l;l;l;0;0;0;0;0;l;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l
b;b;b;b;l;l;l;f;f;f;f;f;l;l;l;l;0;0;0;0;0;0;0;0;l;l;l;l;l;l;l;l;l;l;l;l;f;f;l;l
b;b;b;b;f;f;f;f;f;f;f;f;l;l;l;l;f;f;0;0;0;0;f;f;l;l;l;l;l;l;l;l;l;l;l;l;f;f;f;f
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;f;f;f;0;0;0;0;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f
