1 0 0 0 < 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 D D D D D D D D D D D D D D D D D D D D D D D D D D D
1 0 0 0 < 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 ^ ^ ^ ^ ^ ^ ^ 1 1 1 1 ^ D D D D D D D D D D D D D D D D D D D D D D D D D D D
1 0 0 0 < 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 D D D D D D D D D D D > 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 < v 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 D D D D D D D D D ^ > R D D D D D D D D D D D D 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 B S ^ 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 R Q < D 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 R O > W ^ 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 L B L F _ B < 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 W 1 1 0 W < L S O ^ ^ ^ ^ ^ ^ 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 _ L O 0 v > > < R Q F 1 1 1 1 ^ ^ ^ ^ ^ 0 0 0 1 1 1 1 1 1 1
1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 B < W Q < C < L 0 _ Q > 0 0 1 1 1 1 1 1 ^ ^ 0 1 1 1 1 1 1 1
1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 < < W F C < L 0 S 1 O < F _ 1 1 1 1 1 1 1 1 ^ 1 1 1 1 1 1 1
1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 W C C C S O _ ^ Q O > D C F F F S B S O Q D 1 1 1 1 1 1 1
1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 D > O < W D ^ > Q R 1 L F R _ S Q 0 0 L 0 v _ _ 1 1 1 1 0
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 D > ^ F C C _ R < < > F C ^ > v C _ 0 B C 1 ^ > W C v v 0
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 D > S W R < v 0 < Q ^ > C R L ^ < L Q D O S R ^ _ O L 0 0
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 D > ^ Q F 1 F _ v O B 0 D _ S W ^ _ _ > W L S L R _ O S 1
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 D ^ S W L C O S F F B R F ^ _ S W < _ v S W 0 0 Q S Q B 1
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 D 1 C S > Q W C _ < B ^ > 0 D _ v W R L L W W C v S F R _
1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 < < W > v _ O S ^ Q C O _ C < L W > 0 C Q R v D Q ^ B Q
1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 > W W L S W F > B Q 0 > 1 D S D > C > > Q 1 ^ Q 0 L 0 W
1 0 D D D D D D D D D D D 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 > R B < Q B < D R O > 1 S O Q S B > O _ L v > B D 1 0 R
1 0 D D D D D D D D D D D 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 > R O W < 1 0 L ^ ^ B O v L v ^ O L S F W < > ^ W Q W B
1 0 D D D D D D D D D D D 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 R F v 1 1 1 C L D > C B D < 1 O S 1 W _ 1 < _ v W v O
1 0 D D D D D D D D D D D 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 B S 0 1 1 1 C O F L C F 0 v C W Q < > 1 L F B W < S F
1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 F O S F > L 0 W C 0 B L F > O F R v 1 R D O _ ^ 0 L W
